Question acceptedAnswer Answer
Offer eligibleRegion Text
PriceSpecification eligibleTransactionVolume PriceSpecification
Demand eligibleTransactionVolume PriceSpecification
Offer eligibleTransactionVolume PriceSpecification
ContactPoint email Text
Organization email Text
Person email Text
MediaObject embedUrl URL
Organization employees Person
JobPosting employmentType Text
EntryPoint encodingType Text
CreativeWork encodings MediaObject
CreativeWorkSeries endDate Date
CreativeWorkSeries endDate DateTime
MerchantReturnPolicySeasonalOverride endDate Date
MerchantReturnPolicySeasonalOverride endDate DateTime
CreativeWorkSeason endDate Date
CreativeWorkSeason endDate DateTime
Event endDate Date
Event endDate DateTime
DatedMoneySpecification endDate Date
DatedMoneySpecification endDate DateTime
Role endDate Date
Role endDate DateTime
InteractionCounter endTime DateTime
InteractionCounter endTime Time
FoodEstablishmentReservation endTime DateTime
FoodEstablishmentReservation endTime Time
Action endTime DateTime
Action endTime Time
MediaObject endTime DateTime
MediaObject endTime Time
EndorseAction endorsee Organization
EndorseAction endorsee Person
PerformAction entertainmentBusiness EntertainmentBusiness
Episode episodeNumber Text
Episode episodeNumber Integer
VideoGameSeries episodes Episode
CreativeWorkSeason episodes Episode
TVSeries episodes Episode
RadioSeries episodes Episode
QualitativeValue equal QualitativeValue
Action error Thing
HowToSupply estimatedCost MonetaryAmount
HowToSupply estimatedCost Text
HowTo estimatedCost MonetaryAmount
HowTo estimatedCost Text
Flight estimatedFlightDuration Duration
Flight estimatedFlightDuration Text
JobPosting estimatedSalary MonetaryAmount
JobPosting estimatedSalary MonetaryAmountDistribution
JobPosting estimatedSalary Number
Occupation estimatedSalary MonetaryAmount
Occupation estimatedSalary MonetaryAmountDistribution
Occupation estimatedSalary Number
Event eventStatus EventStatusType
Place events Event
Organization events Event
ImageObject exifData PropertyValue
ImageObject exifData Text
ParcelDelivery expectedArrivalFrom Date
ParcelDelivery expectedArrivalFrom DateTime
ParcelDelivery expectedArrivalUntil Date
ParcelDelivery expectedArrivalUntil DateTime
ActionAccessSpecification expectsAcceptanceOf Offer
ConsumeAction expectsAcceptanceOf Offer
MediaSubscription expectsAcceptanceOf Offer
JobPosting experienceRequirements Text
Occupation experienceRequirements Text
Certification expires Date
Certification expires DateTime
CreativeWork expires Date
CreativeWork expires DateTime
PostalAddress extendedAddress Text
Person familyName Text
NutritionInformation fatContent Mass
ContactPoint faxNumber Text
Place faxNumber Text
Organization faxNumber Text
Person faxNumber Text
SoftwareApplication featureList Text
SoftwareApplication featureList URL
FinancialService feesAndCommissionsSpecification Text
FinancialService feesAndCommissionsSpecification URL
FinancialProduct feesAndCommissionsSpecification Text
FinancialProduct feesAndCommissionsSpecification URL
NutritionInformation fiberContent Mass
CreativeWork fileFormat Text
CreativeWork fileFormat URL
SoftwareApplication fileSize Text
MusicComposition firstPerformance Event
Flight flightDistance Distance
Flight flightDistance Text
Flight flightNumber Text
Accommodation floorSize QuantitativeValue
FollowAction followee Organization
FollowAction followee Person
Person follows Person
CookAction foodEstablishment Place
CookAction foodEstablishment FoodEstablishment
CookAction foodEvent FoodEvent
Organization founders Person
Organization foundingDate Date
Organization foundingLocation Place
PublicationEvent free Boolean
ShippingRateSettings freeShippingThreshold DeliveryChargeSpecification
ShippingRateSettings freeShippingThreshold MonetaryAmount
TransferAction fromLocation Place
MoveAction fromLocation Place
ExerciseAction fromLocation Place
Vehicle fuelConsumption QuantitativeValue
Vehicle fuelEfficiency QuantitativeValue
EngineSpecification fuelType Text
EngineSpecification fuelType QualitativeValue
EngineSpecification fuelType URL
Vehicle fuelType Text
Vehicle fuelType QualitativeValue
Vehicle fuelType URL
Organization funder Organization
Organization funder Person
Event funder Organization
Event funder Person
Person funder Organization
Person funder Person
CreativeWork funder Organization
CreativeWork funder Person
VideoGame gameEdition Text
VideoGameSeries gameItem Thing
Game gameItem Thing
VideoGameSeries gameLocation Place
VideoGameSeries gameLocation PostalAddress
VideoGameSeries gameLocation URL
Game gameLocation Place
Game gameLocation PostalAddress
Game gameLocation URL
VideoGameSeries gamePlatform Thing
VideoGameSeries gamePlatform Text
VideoGameSeries gamePlatform URL
VideoGame gamePlatform Thing
VideoGame gamePlatform Text
VideoGame gamePlatform URL
VideoGame gameTip CreativeWork
Person gender GenderType
Person gender Text
MusicGroup genre Text
MusicGroup genre URL
CreativeWork genre Text
CreativeWork genre URL
BroadcastChannel genre Text
BroadcastChannel genre URL
Place geo GeoShape
Place geo GeoCoordinates
GeoCircle geoMidpoint GeoCoordinates
GeoCircle geoRadius Distance
GeoCircle geoRadius Text
GeoCircle geoRadius Number
Audience geographicArea AdministrativeArea
Person givenName Text
Place globalLocationNumber Text
Organization globalLocationNumber Text
Person globalLocationNumber Text
DigitalDocumentPermission grantee ContactPoint
DigitalDocumentPermission grantee Organization
DigitalDocumentPermission grantee Audience
DigitalDocumentPermission grantee Person
QualitativeValue greater QualitativeValue
QualitativeValue greaterOrEqual QualitativeValue
Product gtin12 Text
Demand gtin12 Text
Offer gtin12 Text
Product gtin13 Text
